video_link,spot_products,brand_name,spot_language,brand_parent_name,spot_description
https://d3npuic909260z.cloudfront.net/001/255/433/Ak6j.mp4,Miller Lite Miller Lite,Miller Lite,en,Molson Coors Brewing Company,"Former NFL quarterback and Dallas Cowboy Troy Aikman is a the store grabbing a pack of Miller Lite. As he pulls out his wallet, a young fan nerously says hi behind him, saying hes a huge fan of his touchdowns and wins...but Aikman is not a man who likes to dwell in the past. Suddenly, his cell phone buzzes and the ringtone is an announcer yelling AIKMAN! TOUCHDOWN! UNBELIEVEABLE! Aikman has to admit that he does dwell on the past. If you were him, wouldnt you?"
https://d3npuic909260z.cloudfront.net/001/256/782/AkEP.mp4,Redds Apple Ale Green Apple Ale | Redds Apple Ale Redds Apple Ale,Redd's Apple Ale,es,Molson Coors Brewing Company,"Los locutores de Deportes de Univisión se preparan para ir a una fiesta después del final del partido. Cuando llegan a la fiesta, celebran tomando Redds Green Apple Ale."
https://d3npuic909260z.cloudfront.net/001/255/864/AkKB.mp4,Bud Light Bud Light,Bud Light,es,Anheuser-Busch,Bud Light anuncia su nueva línea de cerveza que incluye una alineación de latas con cada equipo de la NFL 2015.
https://d3npuic909260z.cloudfront.net/001/256/143/Akle.mp4,Samuel Adams OctoberFest,Samuel Adams,en,Boston Beer Company,Employees at the Samuel Adams factory cant wait to brew their Octoberfest beer because that means engaging in Octoberfest Stein Hoisting. Whoever can hold out their Stein in front of them the longest wins!
https://d3npuic909260z.cloudfront.net/001/255/068/AkOX.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,Bud Light is kicking off the beginning of a brand new season of football with team cans.
https://d3npuic909260z.cloudfront.net/001/258/069/AkUB.mp4,Angry Orchard Apple Ginger | Angry Orchard Cinnful Apple | Angry Orchard Crisp Apple | Angry Orchard Green Apple | Angry Orchard HopN Mad Apple,Angry Orchard,en,Boston Beer Company,"Angry Orchard offers an array of hard ciders. On the hundred-year-old apple orchard, the brewers of Angry Orchard are always experimenting and producing traditional ciders with a twist."
https://d3npuic909260z.cloudfront.net/001/259/863/ALK8.mp4,Strongbow Hard Apple Cider,Strongbow,en,Heineken International,"Strongbow doesnt think its hard cider is a hard sell. All it claims to need is ice. But, it probably doesnt hurt to have an award for best tasting cider from the 2014 World Beer Championships. Now, what is Patrick Stewart doing creeping into the shot?"
https://d3npuic909260z.cloudfront.net/001/372/578/Alm4.mp4,Blue Moon Belgian White,Blue Moon,en,Molson Coors Brewing Company,"Before enjoying a glass of Blue Moon beer, chef Roy Choi explains his creative process as two customers at a farmers market bring his description to life. The customers each choose tomatoes, oranges, bell peppers and other vegetables from baskets, using magic to make the combinations levitate. As they send the produce hurling toward each other, the two flavors come together in a cloud of color. Choi imagines the possibilities as he brews up a new recipe, striving to combine flavors in ways no one ever thought of."
https://d3npuic909260z.cloudfront.net/001/372/164/AlXS.mp4,Redds Wicked Wicked Apple Ale | Redds Wicked Wicked Blood Orange,Redd's Wicked,en,Molson Coors Brewing Company,A blue solo cup quivers in fear as a chilled Redds Wicked Apple Ale can stands tall. The party cup loses the fight and falls into a trash can in dramatic slow motion.
https://d3npuic909260z.cloudfront.net/001/388/773/AM0k.mp4,Modelo Especial | Modelo Negra,Modelo,en,Constellation Brands,"Modelo celebrates those who live with passion, bravery and the ability to keep fighting whether they include firefighters, cooks or football players. Aligning itself with this sense of never-ending commitment, the brand claims its beer is for those who believe in better."
https://d3npuic909260z.cloudfront.net/001/388/978/AM41.mp4,Modelo Especial | Modelo Negra,Modelo,es,Constellation Brands,"Modelo celebra con las personas apasionadas, con agallas, con los luchadores y con los quienes respetan las tradiciones. La marca de cerveza Modelo anuncia que su cerveza es para las personas que creen que me lo mejor siempre es posible."
https://d3npuic909260z.cloudfront.net/001/388/743/AMcM.mp4,Strongbow Cherry Blossom Hard Apple Cider | Strongbow Ginger Hard Apple Cider | Strongbow Gold Apple Hard Apple Cider | Strongbow Hard Apple Cider | Strongbow Honey Hard Apple Cider,Strongbow,en,Heineken International,"Award-winning actor Patrick Stewart drinks Strongbow Hard Cider and crosses the line when he exclaims that he already knows about the awards<U+200B>, like he knows about the trophies the voice-over actor is hoarding in his mothers basement."
https://d3npuic909260z.cloudfront.net/001/454/464/AmDx.mp4,Heineken Heineken,Heineken,es,Heineken International,"Benicio del Toro declara que Heineken siempre tiene un sabor perfecto cada vez, lo que no sucede por casualidad. Convertirse en un maestro cervecero Heineken requiere 15 años de experiencia -- casi tanto tiempo como le llevó a perfeccionar su mirada para atraer a la mesera (y a las mujeres)."
https://d3npuic909260z.cloudfront.net/001/388/186/AMJH.mp4,Dos Equis Lager Especial,Dos Equis,en,Heineken International,"ESPN journalist Steve Levy is auditioning to be The New Most Interesting Man in the World, but Dos Equis will reveal who it is Sept. 7, 2016."
https://d3npuic909260z.cloudfront.net/001/386/879/AMK4.mp4,Tecate Light | Tecate Original,Tecate,es,Heineken International,El boxeador Canelo Álvarez es un campeón que se compara con el aguila de Tecate. Es por eso que la pelea de Canelo vs. Smith no se puede disfrutar sin la presencia de la cerveza de Tecate.
https://d3npuic909260z.cloudfront.net/001/387/112/AMlW.mp4,Corona Light Corona Light,Corona Light,en,Constellation Brands,Corona Light encourages you to ditch your to-do list and enjoy a relaxing evening with friends instead.
https://d3npuic909260z.cloudfront.net/001/453/434/AmtS.mp4,Heineken Heineken,Heineken,en,Heineken International,"Benicio del Toro declares that Heineken tastes perfect every single time, which doesnt happen by accident. Becoming a Heineken brewmaster takes 15 years -- almost as long as it took him to perfect the smoldering look he gives the bartender. He rubs his hands together as she nears his table with a glass of the frothy beer, but when he realizes shes actually serving another customer, he admits hes still practicing."
https://d3npuic909260z.cloudfront.net/001/388/120/AMxW.mp4,Michelob ULTRA,Michelob,es,Anheuser-Busch,"Hombres y mujeres del deporte superan la tensión y el sudor para esforzarse con gran intensidad. Después de entrenar, disfrutan Michelob Ultra con sus amigos."
https://d3npuic909260z.cloudfront.net/001/397/058/AN9r.mp4,Strongbow Cherry Blossom Hard Apple Cider | Strongbow Ginger Hard Apple Cider | Strongbow Gold Apple Hard Apple Cider | Strongbow Honey Hard Apple Cider,Strongbow,en,Heineken International,"Strongbow hired an actor with impressive range to show off its impressive range of hard cider flavors -- the award-winning Patrick Stewart. As he announces each flavor, the voice-over changes his mind. Thats maybe a little too much range."
https://d3npuic909260z.cloudfront.net/001/394/648/ANS1.mp4,Strongbow Cherry Blossom Hard Apple Cider | Strongbow Ginger Hard Apple Cider | Strongbow Gold Apple Hard Apple Cider | Strongbow Honey Hard Apple Cider,Strongbow,en,Heineken International,FX Pours features Strongbow Hard Cider flavors served over ice with the help of Adam Gertler.
https://d3npuic909260z.cloudfront.net/001/305/170/AO89.mp4,Tecate Light | Tecate Original,Tecate,en,Heineken International,Tecate airs its commercial during Super Bowl 50 on ESPN Deportes.
https://d3npuic909260z.cloudfront.net/001/305/140/AO8j.mp4,Budweiser Budweiser,Budweiser,en,Anheuser-Busch,"Helen Mirren, an uncensored British lady, tells viewers that drunk drivers are oxygen-wasting cowards whose brains would be rejected if donated to science. This Super Bowl 50, Budweiser encourages viewers to give a damn about not only their lives but also those of others."
